,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_balance/stream_gen_20k_0.05_30_f10_normal_suddendrift,0.46066732432432433,0.5295148918918918,0.502831,0.4844832432432433,0.5801147297297298,0.846578891891892,0.03771235135135135
gen/sd_balance/stream_gen_20k_0.10_30_f10_normal_suddendrift,0.5293902972972974,0.6986204324324324,0.7842990000000001,0.7275831891891891,0.6540704054054055,0.9169383513513513,0.08511994594594596
gen/sd_balance/stream_gen_20k_0.15_30_f10_normal_suddendrift,0.6164078108108109,0.7960794864864863,0.8688762162162162,0.8985061081081079,0.8347451081081082,0.9583170270270269,0.20115178378378382
gen/sd_balance/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.5355901621621623,0.6076583243243243,0.6323554594594595,0.7256612972972971,0.5996591351351351,0.9450910270270272,0.17626867567567567
gen/sd_balance/stream_gen_20k_0.25_30_f10_normal_suddendrift,0.5977575135135136,0.5397361351351351,0.5988051351351351,0.6820719189189189,0.5996818918918919,0.9050017297297298,0.2905512432432433
gen/sd_balance/stream_gen_20k_0.30_30_f10_normal_suddendrift,0.6967341351351353,0.6507317297297297,0.6720035405405406,0.7935743783783783,0.6801011351351353,0.9543355675675677,0.31177202702702705
gen/sd_balance/stream_gen_20k_0.35_30_f10_normal_suddendrift,0.5806671621621622,0.6455641621621621,0.736182027027027,0.8331935945945947,0.7319660540540541,0.9122085945945947,0.40482427027027024
gen/sd_balance/stream_gen_20k_0.40_30_f10_normal_suddendrift,0.6145276216216216,0.5253932972972972,0.6068012162162161,0.7138188108108107,0.6346224054054054,0.8796948378378379,0.43813778378378376
